"Query","Entrez","Symbol","Name","Comment"
"TCEAL7","56849","TCEAL7","transcription elongation factor A like 7","1"
"RPS6KA5","9252","RPS6KA5","ribosomal protein S6 kinase A5","1"
"SYT13","57586","SYT13","synaptotagmin 13","1"
"GID8","54994","GID8","GID complex subunit 8 homolog","1"
"SERINC3","10955","SERINC3","serine incorporator 3","1"
"AFF1","4299","AFF1","AF4/FMR2 family member 1","1"
"GABARAPL1","23710","GABARAPL1","GABA type A receptor associated protein like 1","1"
"NAP1L5","266812","NAP1L5","nucleosome assembly protein 1 like 5","1"
"PIP4P1","90809","PIP4P1","""phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1""","1"
"GABRA1","2554","GABRA1","gamma-aminobutyric acid type A receptor subunit alpha1","1"
"SRXN1","140809","SRXN1","sulfiredoxin 1","1"
"NOP9","161424","NOP9","NOP9 nucleolar protein","1"
"PITHD1","57095","PITHD1","PITH domain containing 1","1"
"CDK5R1","8851","CDK5R1","cyclin dependent kinase 5 regulatory subunit 1","1"
"PER2","8864","PER2","period circadian regulator 2","1"
"SNRNP25","79622","SNRNP25","small nuclear ribonucleoprotein U11/U12 subunit 25","1"
"CRADD","8738","CRADD","CASP2 and RIPK1 domain containing adaptor with death domain","1"
"ATG9A","79065","ATG9A","autophagy related 9A","1"
"SRRD","402055","SRRD","SRR1 domain containing","1"
"YWHAH","7533","YWHAH","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta","1"
"RRS1","23212","RRS1","ribosome biogenesis regulator 1 homolog","1"
"PRKAR1A","5573","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha","1"
"ANAPC15","25906","ANAPC15","anaphase promoting complex subunit 15","1"
"POLR2K","5440","POLR2K","RNA polymerase II subunit K","1"
"GPR27","2850","GPR27","G protein-coupled receptor 27","1"
"NRIP3","56675","NRIP3","nuclear receptor interacting protein 3","1"
"NIP7","51388","NIP7","nucleolar pre-rRNA processing protein NIP7","1"
"NORAD","647979","NORAD","non-coding RNA activated by DNA damage","1"
"APEX1","328","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","1"
"CHGB","1114","CHGB","chromogranin B","1"
"ATP1A1","476","ATP1A1","ATPase Na+/K+ transporting subunit alpha 1","1"
"BEX4","56271","BEX4","brain expressed X-linked 4","1"
"PIP4K2C","79837","PIP4K2C","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma","1"
"B4GAT1","11041","B4GAT1","""beta-1,4-glucuronyltransferase 1""","1"
"TIGD3","220359","TIGD3","tigger transposable element derived 3","1"
"PARD6A","50855","PARD6A","par-6 family cell polarity regulator alpha","1"
"ATP2A2","488","ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","1"
"B3GALT1","8708","B3GALT1","""beta-1,3-galactosyltransferase 1""","1"
"DBNDD1","79007","DBNDD1","dysbindin domain containing 1","1"
"TMEM35A","59353","TMEM35A","transmembrane protein 35A","1"
"TOMM40L","84134","TOMM40L","translocase of outer mitochondrial membrane 40 like","1"
"NFE2L1","4779","NFE2L1","""nuclear factor, erythroid 2 like 1""","1"
"RAB11FIP5","26056","RAB11FIP5","RAB11 family interacting protein 5","1"
"ZBTB22","9278","ZBTB22","zinc finger and BTB domain containing 22","1"
"PIGS","94005","PIGS","phosphatidylinositol glycan anchor biosynthesis class S","1"
"ACTG1","71","ACTG1","actin gamma 1","1"
"DUSP26","78986","DUSP26","dual specificity phosphatase 26","1"
"HDDC3","374659","HDDC3","HD domain containing 3","1"
"PMM1","5372","PMM1","phosphomannomutase 1","1"
"ATF7","11016","ATF7","activating transcription factor 7","1"
"NUDT15","55270","NUDT15","nudix hydrolase 15","1"
"FEN1","2237","FEN1","flap structure-specific endonuclease 1","1"
"SCN2B","6327","SCN2B","sodium voltage-gated channel beta subunit 2","1"
"TSPAN13","27075","TSPAN13","tetraspanin 13","1"
"TMEM203","94107","TMEM203","transmembrane protein 203","1"
"CCDC184","387856","CCDC184","coiled-coil domain containing 184","1"
"HEY1","23462","HEY1","hes related family bHLH transcription factor with YRPW motif 1","1"
"NDUFB5","4711","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5","1"
"KTI12","112970","KTI12","KTI12 chromatin associated homolog","1"
"PCSK1","5122","PCSK1","proprotein convertase subtilisin/kexin type 1","1"
"MZT1","440145","MZT1","mitotic spindle organizing protein 1","1"
"ADO","84890","ADO","2-aminoethanethiol dioxygenase","1"
"ZDHHC23","254887","ZDHHC23","zinc finger DHHC-type palmitoyltransferase 23","1"
"BRK1","55845","BRK1","BRICK1 subunit of SCAR/WAVE actin nucleating complex","1"
"DDX54","79039","DDX54","DEAD-box helicase 54","1"
"PHF24","23349","PHF24","PHD finger protein 24","1"
"UBE2S","27338","UBE2S","ubiquitin conjugating enzyme E2 S","1"
"PDE10A","10846","PDE10A","phosphodiesterase 10A","1"
"CCDC85B","11007","CCDC85B","coiled-coil domain containing 85B","1"
"SELENOW","6415","SELENOW","selenoprotein W","1"
"CALM3","808","CALM3","calmodulin 3","1"
"FAM3C","10447","FAM3C","FAM3 metabolism regulating signaling molecule C","1"
"TRIM23","373","TRIM23","tripartite motif containing 23","1"
"SPRY4","81848","SPRY4","sprouty RTK signaling antagonist 4","1"
"B4GALT3","8703","B4GALT3","""beta-1,4-galactosyltransferase 3""","1"
"CYCS","54205","CYCS","""cytochrome c, somatic""","1"
"SLC39A3","29985","SLC39A3","solute carrier family 39 member 3","1"
"RCOR2","283248","RCOR2","REST corepressor 2","1"
"LGI3","203190","LGI3","leucine rich repeat LGI family member 3","1"
"JPT1","51155","JPT1","Jupiter microtubule associated homolog 1","1"
"SLC12A5","57468","SLC12A5","solute carrier family 12 member 5","1"
"MCM4","4173","MCM4","minichromosome maintenance complex component 4","1"
"PSMD8","5714","PSMD8","""proteasome 26S subunit, non-ATPase 8""","1"
"SPRYD3","84926","SPRYD3","SPRY domain containing 3","1"
"RIMS3","9783","RIMS3","regulating synaptic membrane exocytosis 3","1"
"DDA1","79016","DDA1","DET1 and DDB1 associated 1","1"
"RAN","5901","RAN","""RAN, member RAS oncogene family""","1"
"CREG2","200407","CREG2","cellular repressor of E1A stimulated genes 2","1"
"EIF4A2","1974","EIF4A2","eukaryotic translation initiation factor 4A2","1"
"AHCY","191","AHCY","adenosylhomocysteinase","1"
"SLC35A2","7355","SLC35A2","solute carrier family 35 member A2","1"
"SET","6418","SET","SET nuclear proto-oncogene","1"
"OAZ1","4946","OAZ1","ornithine decarboxylase antizyme 1","1"
"TIMP2","7077","TIMP2","TIMP metallopeptidase inhibitor 2","1"
"FKBP1B","2281","FKBP1B","FKBP prolyl isomerase 1B","1"
"IDH3A","3419","IDH3A","isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha","1"
"NSF","4905","NSF","""N-ethylmaleimide sensitive factor, vesicle fusing ATPase""","1"
"ERP29","10961","ERP29","endoplasmic reticulum protein 29","1"
"STARD13","90627","STARD13","StAR related lipid transfer domain containing 13","1"
"RND1","27289","RND1","Rho family GTPase 1","1"
"GMPR2","51292","GMPR2","guanosine monophosphate reductase 2","1"
"HNRNPA0","10949","HNRNPA0","heterogeneous nuclear ribonucleoprotein A0","1"
"TIMM10B","26515","TIMM10B","translocase of inner mitochondrial membrane 10B","1"
"CAMK2N2","94032","CAMK2N2","calcium/calmodulin dependent protein kinase II inhibitor 2","1"
"MRFAP1","93621","MRFAP1","Morf4 family associated protein 1","1"
"SPRED2","200734","SPRED2","sprouty related EVH1 domain containing 2","1"
"DNA2","1763","DNA2","DNA replication helicase/nuclease 2","1"
"FAM89B","23625","FAM89B","family with sequence similarity 89 member B","1"
"BHLHE40","8553","BHLHE40","basic helix-loop-helix family member e40","1"
"STPG2","285555","STPG2","sperm tail PG-rich repeat containing 2","1"
"DNAL4","10126","DNAL4","dynein axonemal light chain 4","1"
"MAS1","4142","MAS1","""MAS1 proto-oncogene, G protein-coupled receptor""","1"
"KIAA1958","158405","KIAA1958","KIAA1958","1"
"FUT1","2523","FUT1","fucosyltransferase 1 (H blood group)","1"
"ANKRD55","79722","ANKRD55","ankyrin repeat domain 55","1"
"CKLF","51192","CKLF","chemokine like factor","1"
"DIRAS1","148252","DIRAS1","DIRAS family GTPase 1","1"
"GRINA","2907","GRINA","glutamate ionotropic receptor NMDA type subunit associated protein 1","1"
"PDHB","5162","PDHB","pyruvate dehydrogenase E1 subunit beta","1"
"SPINT2","10653","SPINT2","""serine peptidase inhibitor, Kunitz type 2""","1"
"KATNAL2","83473","KATNAL2","katanin catalytic subunit A1 like 2","1"
"CCDC106","29903","CCDC106","coiled-coil domain containing 106","1"
"DGCR11","25786","DGCR11","DiGeorge syndrome critical region gene 11","1"
"AP2M1","1173","AP2M1","adaptor related protein complex 2 subunit mu 1","1"
"BCL7B","9275","BCL7B","BAF chromatin remodeling complex subunit BCL7B","1"
"CNTLN","54875","CNTLN","centlein","1"
"FJX1","24147","FJX1","four-jointed box kinase 1","1"
"GAB1","2549","GAB1","GRB2 associated binding protein 1","1"
"ADCK2","90956","ADCK2","aarF domain containing kinase 2","1"
"SHC3","53358","SHC3","SHC adaptor protein 3","1"
"PLEKHB2","55041","PLEKHB2","pleckstrin homology domain containing B2","1"
"MANBAL","63905","MANBAL","mannosidase beta like","1"
"C6orf163","206412","C6orf163","chromosome 6 open reading frame 163","1"
"JAKMIP1","152789","JAKMIP1","janus kinase and microtubule interacting protein 1","1"
"BYSL","705","BYSL","bystin like","1"
"FUT10","84750","FUT10","fucosyltransferase 10","1"
"SELENOH","280636","SELENOH","selenoprotein H","1"
"NARS","NA","NA","NA","0"
"SEZ6L2","26470","SEZ6L2","seizure related 6 homolog like 2","1"
"RPL15","6138","RPL15","ribosomal protein L15","1"
"ABCC12","94160","ABCC12","ATP binding cassette subfamily C member 12","1"
"ARL4C","10123","ARL4C","ADP ribosylation factor like GTPase 4C","1"
"TTC9","23508","TTC9","tetratricopeptide repeat domain 9","1"
"RHNO1","83695","RHNO1","RAD9-HUS1-RAD1 interacting nuclear orphan 1","1"
"PNMA6A","84968","PNMA6A","PNMA family member 6A","1"
"SCGB2B2","284402","SCGB2B2","secretoglobin family 2B member 2","1"
"TMEM160","54958","TMEM160","transmembrane protein 160","1"
"PNMA8B","57469","PNMA8B","PNMA family member 8B","1"
"PLPP6","403313","PLPP6","phospholipid phosphatase 6","1"
"YRDC","79693","YRDC","yrdC N6-threonylcarbamoyltransferase domain containing","1"
"RSL24D1","51187","RSL24D1","ribosomal L24 domain containing 1","1"
"NEUROD6","63974","NEUROD6","neuronal differentiation 6","1"
"TM2D2","83877","TM2D2","TM2 domain containing 2","1"
"MBLAC1","255374","MBLAC1","metallo-beta-lactamase domain containing 1","1"
"KCNJ9","3765","KCNJ9","potassium inwardly rectifying channel subfamily J member 9","1"
"ARL1","400","ARL1","ADP ribosylation factor like GTPase 1","1"
"FLRT1","23769","FLRT1","fibronectin leucine rich transmembrane protein 1","1"
"ORMDL3","94103","ORMDL3","ORMDL sphingolipid biosynthesis regulator 3","1"
"TSTA3","7264","TSTA3","tissue specific transplantation antigen P35B","1"
"SSTR3","6753","SSTR3","somatostatin receptor 3","1"
"ADCYAP1","116","ADCYAP1","adenylate cyclase activating polypeptide 1","1"
"TMEM250","90120","TMEM250","transmembrane protein 250","1"
"TLCD3A","79850","TLCD3A","TLC domain containing 3A","1"
"SSTR1","6751","SSTR1","somatostatin receptor 1","1"
"ICMT","23463","ICMT","isoprenylcysteine carboxyl methyltransferase","1"
"RPRML","388394","RPRML","reprimo like","1"
"UBE2V2","7336","UBE2V2","ubiquitin conjugating enzyme E2 V2","1"
"BTBD6","90135","BTBD6","BTB domain containing 6","1"
"SPCS1","28972","SPCS1","signal peptidase complex subunit 1","1"
"GRPEL2","134266","GRPEL2","","1"
"SLC7A4","6545","SLC7A4","solute carrier family 7 member 4","1"
"TMEM141","85014","TMEM141","transmembrane protein 141","1"
"YWHAG","7532","YWHAG","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma","1"
"ZNF747","65988","ZNF747","zinc finger protein 747","1"
"SCG5","6447","SCG5","secretogranin V","1"
"TSPYL5","85453","TSPYL5","TSPY like 5","1"
"TMEM208","29100","TMEM208","transmembrane protein 208","1"
"ATP6V1E1","529","ATP6V1E1","ATPase H+ transporting V1 subunit E1","1"
"NPTN-IT1","101241892","NPTN-IT1","NPTN intronic transcript 1","1"
"IDH3B","3420","IDH3B","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta","1"
"CHRM1","1128","CHRM1","cholinergic receptor muscarinic 1","1"
"ARHGAP22","58504","ARHGAP22","Rho GTPase activating protein 22","1"
"RAB3B","5865","RAB3B","""RAB3B, member RAS oncogene family""","1"
"SUPT4H1","6827","SUPT4H1","""SPT4 homolog, DSIF elongation factor subunit""","1"
"KCNS2","3788","KCNS2","potassium voltage-gated channel modifier subfamily S member 2","1"
"UBL4A","8266","UBL4A","ubiquitin like 4A","1"
"LRRTM1","347730","LRRTM1","leucine rich repeat transmembrane neuronal 1","1"
"KMO","8564","KMO","kynurenine 3-monooxygenase","1"
"FAP","2191","FAP","fibroblast activation protein alpha","1"
"MRPS17","51373","MRPS17","mitochondrial ribosomal protein S17","1"
"RTL5","340526","RTL5","retrotransposon Gag like 5","1"
"PJA2","9867","PJA2","praja ring finger ubiquitin ligase 2","1"
"DHCR24","1718","DHCR24","24-dehydrocholesterol reductase","1"
"EIF4H","7458","EIF4H","eukaryotic translation initiation factor 4H","1"
"ZXDB","158586","ZXDB","zinc finger X-linked duplicated B","1"
"PRAF2","11230","PRAF2","PRA1 domain family member 2","1"
"NEFL","4747","NEFL","neurofilament light","1"
"HAS1","3036","HAS1","hyaluronan synthase 1","1"
"C22orf39","128977","C22orf39","chromosome 22 open reading frame 39","1"
"ARHGAP19","84986","ARHGAP19","Rho GTPase activating protein 19","1"
"STOML1","9399","STOML1","stomatin like 1","1"
"SCN3B","55800","SCN3B","sodium voltage-gated channel beta subunit 3","1"
"PREPL","9581","PREPL","prolyl endopeptidase like","1"
"PIGW","284098","PIGW","phosphatidylinositol glycan anchor biosynthesis class W","1"
"TMEM17","200728","TMEM17","transmembrane protein 17","1"
"HAPLN4","404037","HAPLN4","hyaluronan and proteoglycan link protein 4","1"
"NAT8L","339983","NAT8L","N-acetyltransferase 8 like","1"
"NDRG4","65009","NDRG4","NDRG family member 4","1"
"ABHD14A","25864","ABHD14A","abhydrolase domain containing 14A","1"
"STOML2","30968","STOML2","stomatin like 2","1"
"ATP6V0D1","9114","ATP6V0D1","ATPase H+ transporting V0 subunit d1","1"
"WASF2","10163","WASF2","WASP family member 2","1"
"TMEM14A","28978","TMEM14A","transmembrane protein 14A","1"
"KCTD2","23510","KCTD2","potassium channel tetramerization domain containing 2","1"
"PNPO","55163","PNPO","pyridoxamine 5'-phosphate oxidase","1"
"ACOT11","26027","ACOT11","acyl-CoA thioesterase 11","1"
